order_type,ticker,size,price_filled,route,time_filled,P&L
Buy,ABUS,50,7.97,SMAT,9:30:00,0
Sell,ABUS,50,8.23,SMAT,9:30:09,$18 
Shrt,ABUS,50,8.52,SMAT,9:35:55,($12)
Buy,ABUS,5,8.4,SMAT,9:36:19,($99)
Buy,ABUS,4,8.3,SMAT,9:36:46,
Buy,ABUS,4,8.14,SMAT,9:36:57,
Buy,ABUS,37,8.22,SMAT,9:37:01,
Shrt,AMD,50,66.24,SMAT,9:38:15,
Buy,AMD,5,66.07,SMAT,9:38:20,
Buy,AMD,4,66.01,SMAT,9:38:31,
Buy,AMD,4,65.9,SMAT,9:38:40,
Buy,AMD,3,65.81,SMAT,9:38:46,
Buy,AMD,34,65.81,SMAT,9:38:51,
Buy,ABUS,50,8.18,SMAT,9:41:21,
Sell,ABUS,5,8.28,SMAT,9:41:42,
Sell,ABUS,11,8.28,SMAT,9:42:01,
Sell,ABUS,34,8.06,SMAT,9:43:28,
Buy,AMD,50,66.91,SMAT,9:44:23,
Sell,AMD,50,66.71,SMAT,9:45:02,
Shrt,AMD,50,66.4,SMAT,9:46:07,
Buy,AMD,5,66.3,SMAT,9:46:21,
Buy,AMD,45,66.41,SMAT,9:46:34,
