Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
12:41:05,INO,SS,13.42,6,SMAT,,TRP202239,Short,,
12:47:38,INO,B,13.5,41,SMAT,,TRP202239,Margin,,
13:02:37,INO,B,13.52,5,SMAT,,TRP202239,Margin,,
13:14:16,INO,B,13.54,4,SMAT,,TRP202239,Margin,,
13:27:03,INO,B,13.36,50,SMAT,,TRP202239,Margin,,
13:39:52,INO,B,13.27,3,SMAT,,TRP202239,Margin,,
13:42:39,INO,B,13.31,50,SMAT,,TRP202239,Margin,,
12:39:48,INO,SS,13.38,8,SMAT,,TRP202239,Short,,
12:47:05,INO,B,13.42,4,SMAT,,TRP202239,Margin,,
13:00:56,INO,SS,13.57,50,SMAT,,TRP202239,Short,,
13:13:04,INO,B,13.55,5,SMAT,,TRP202239,Margin,,
13:25:13,INO,B,13.43,50,SMAT,,TRP202239,Margin,,
13:39:38,INO,B,13.27,3,SMAT,,TRP202239,Margin,,
13:41:43,INO,B,13.3,16,SMAT,,TRP202239,Margin,,
12:39:45,INO,SS,13.34,11,SMAT,,TRP202239,Short,,
12:46:59,INO,B,13.51,5,SMAT,,TRP202239,Margin,,
12:59:28,INO,B,13.68,50,SMAT,,TRP202239,Margin,,
13:12:13,INO,SS,13.63,50,SMAT,,TRP202239,Short,,
13:25:03,INO,SS,13.35,50,SMAT,,TRP202239,Short,,
13:39:19,INO,B,13.29,4,SMAT,,TRP202239,Margin,,
13:41:24,INO,B,13.25,1,SMAT,,TRP202239,Margin,,
12:39:02,INO,SS,13.32,5,SMAT,,TRP202239,Short,,
12:46:07,INO,SS,13.61,50,SMAT,,TRP202239,Short,,
12:59:07,INO,SS,13.61,50,SMAT,,TRP202239,Short,,
13:09:16,INO,SS,13.66,29,SMAT,,TRP202239,Short,,
13:20:53,INO,SS,13.6,17,SMAT,,TRP202239,Short,,
13:38:51,INO,B,13.3,4,SMAT,,TRP202239,Margin,,
13:40:47,INO,B,13.21,1,SMAT,,TRP202239,Margin,,
12:37:59,INO,B,13.23,50,SMAT,,TRP202239,Margin,,
12:44:36,INO,SS,13.61,38,SMAT,,TRP202239,Short,,
12:58:59,INO,SS,13.66,50,SMAT,,TRP202239,Short,,
13:08:58,INO,SS,13.72,9,SMAT,,TRP202239,Short,,
13:20:19,INO,SS,13.56,5,SMAT,,TRP202239,Short,,
13:38:18,INO,B,13.31,5,SMAT,,TRP202239,Margin,,
13:40:42,INO,B,13.23,2,SMAT,,TRP202239,Margin,,
12:36:49,INO,SS,13.1,50,SMAT,,TRP202239,Short,,
12:43:23,INO,SS,13.71,12,SMAT,,TRP202239,Short,,
12:57:35,INO,B,13.75,50,SMAT,,TRP202239,Margin,,
13:08:19,INO,SS,13.67,12,SMAT,,TRP202239,Short,,
13:17:55,INO,SS,13.53,7,SMAT,,TRP202239,Short,,
13:36:37,INO,SS,13.38,50,SMAT,,TRP202239,Short,,
13:40:28,INO,B,13.25,2,SMAT,,TRP202239,Margin,,
13:47:56,INO,SS,13.45,17,SMAT,,TRP202239,Short,,
12:35:18,INO,B,13.22,50,SMAT,,TRP202239,Margin,,
12:43:14,INO,B,13.6,50,SMAT,,TRP202239,Margin,,
12:57:19,INO,B,13.71,50,SMAT,,TRP202239,Margin,,
13:07:27,INO,B,13.65,50,SMAT,,TRP202239,Margin,,
13:17:15,INO,SS,13.49,9,SMAT,,TRP202239,Short,,
13:36:02,INO,SS,13.41,22,SMAT,,TRP202239,Short,,
13:40:24,INO,B,13.26,2,SMAT,,TRP202239,Margin,,
13:47:48,INO,SS,13.44,5,SMAT,,TRP202239,Short,,
12:34:09,INO,SS,13.15,50,SMAT,,TRP202239,Short,,
12:41:29,INO,SS,13.4,12,SMAT,,TRP202239,Short,,
12:56:02,INO,SS,13.7,50,SMAT,,TRP202239,Short,,
13:06:27,INO,SS,13.66,50,SMAT,,TRP202239,Short,,
13:15:28,INO,SS,13.51,12,SMAT,,TRP202239,Short,,
13:33:13,INO,SS,13.45,7,SMAT,,TRP202239,Short,,
13:40:04,INO,B,13.23,2,SMAT,,TRP202239,Margin,,
13:47:16,INO,SS,13.4,7,SMAT,,TRP202239,Short,,
12:32:54,INO,B,13.32,50,SMAT,,TRP202239,Margin,,
12:41:26,INO,SS,13.43,3,SMAT,,TRP202239,Short,,
12:51:36,INO,SS,13.63,50,SMAT,,TRP202239,Short,,
13:04:10,INO,B,13.65,50,SMAT,,TRP202239,Margin,,
13:14:38,INO,B,13.41,50,SMAT,,TRP202239,Margin,,
13:33:04,INO,SS,13.43,9,SMAT,,TRP202239,Short,,
13:40:04,INO,B,13.23,2,SMAT,,TRP202239,Margin,,
13:46:42,INO,SS,13.38,9,SMAT,,TRP202239,Short,,
12:41:20,INO,SS,13.44,5,SMAT,,TRP202239,Short,,
12:48:50,INO,B,13.6,50,SMAT,,TRP202239,Margin,,
13:03:52,INO,B,13.63,45,SMAT,,TRP202239,Margin,,
13:14:20,INO,B,13.47,41,SMAT,,TRP202239,Margin,,
13:30:55,INO,SS,13.44,12,SMAT,,TRP202239,Short,,
13:39:54,INO,B,13.28,3,SMAT,,TRP202239,Margin,,
13:46:16,INO,SS,13.35,12,SMAT,,TRP202239,Short,,
