Time,Symb,Side,Price,Qty,Route,Broker,Account,Type,Cloid
12:30:30,JD,B,49.98,50,SMAT,,TRP202239,Margin,
12:30:57,JD,SS,49.63,50,SMAT,,TRP202239,Short,
12:31:53,JD,B,49.86,50,SMAT,,TRP202239,Margin,
12:32:25,JD,SS,50.34,12,SMAT,,TRP202239,Short,
12:32:27,JD,SS,50.29,38,SMAT,,TRP202239,Short,
12:35:09,JD,SS,50.47,50,SMAT,,TRP202239,Short,
12:35:40,JD,B,50.86,50,SMAT,,TRP202239,Margin,
12:36:17,JD,SS,50.36,50,SMAT,,TRP202239,Short,
12:39:03,JD,B,50.37,50,SMAT,,TRP202239,Margin,
12:41:40,JD,B,50.25,50,SMAT,,TRP202239,Margin,
12:42:32,JD,SS,50.42,12,SMAT,,TRP202239,Short,
12:43:05,JD,SS,50.52,9,SMAT,,TRP202239,Short,
12:43:36,JD,SS,50.67,7,SMAT,,TRP202239,Short,
12:43:38,JD,SS,50.66,5,SMAT,,TRP202239,Short,
12:43:46,JD,SS,50.69,4,SMAT,,TRP202239,Short,
12:45:56,JD,SS,50.68,13,SMAT,,TRP202239,Short,
12:49:12,JD,B,50.65,50,SMAT,,TRP202239,Margin,
12:50:24,JD,SS,50.5,50,SMAT,,TRP202239,Short,
12:53:22,JD,SS,50.23,50,SMAT,,TRP202239,Short,
12:53:57,JD,B,50.1,5,SMAT,,TRP202239,Margin,
12:57:00,JD,B,50.09,45,SMAT,,TRP202239,Margin,
13:05:38,JD,SS,49.59,50,SMAT,,TRP202239,Short,
13:05:54,JD,B,49.29,5,SMAT,,TRP202239,Margin,
13:05:55,JD,B,49.34,45,SMAT,,TRP202239,Margin,
13:06:08,JD,B,49.47,50,SMAT,,TRP202239,Margin,
13:06:51,JD,SS,49.41,50,SMAT,,TRP202239,Short,
13:08:30,JD,B,49.1,50,SMAT,,TRP202239,Margin,
13:09:32,JD,SS,48.9,50,SMAT,,TRP202239,Short,
13:09:48,JD,SS,48.79,50,SMAT,,TRP202239,Short,
13:10:20,JD,B,49,50,SMAT,,TRP202239,Margin,
13:11:08,JD,B,49.2,50,SMAT,,TRP202239,Margin,
13:11:46,JD,SS,49.39,12,SMAT,,TRP202239,Short,
13:13:00,JD,SS,49.6,38,SMAT,,TRP202239,Short,
13:15:29,JD,B,49.8,50,SMAT,,TRP202239,Margin,
13:17:07,JD,SS,49.61,50,SMAT,,TRP202239,Short,
13:21:11,JD,SS,49.16,50,SMAT,,TRP202239,Short,
13:24:12,JD,B,49.22,50,SMAT,,TRP202239,Margin,
