order_type,ticker,size,price_filled,route,time_filled
Buy,INO,100,16.68,SMAT,12:30:00
Sell,INO,100,16.83,SMAT,12:30:09
Buy,INO,100,16.24,SMAT,12:32:35
Sell,INO,50,16.5,SMAT,12:33:41
Sell,INO,50,16.24,SMAT,12:34:56
Sell,INO,100,16.2,SMAT,12:36:46
Buy,INO,50,16.01,SMAT,12:36:55
Buy,INO,25,15.88,SMAT,12:36:56
Buy,INO,25,15.97,SMAT,12:37:02
Buy,INO,100,15.81,SMAT,12:39:45
Sell,INO,50,16.01,SMAT,12:39:54
Sell,INO,50,15.91,SMAT,12:40:10
Buy,INO,100,15.95,SMAT,12:44:20
Sell,INO,100,15.84,SMAT,12:44:24
Sell,INO,100,15.8,SMAT,12:44:48
Buy,INO,100,15.67,SMAT,12:45:08
Buy,INO,100,15.95,SMAT,12:45:43
Sell,INO,50,16.11,SMAT,12:46:19
Sell,INO,50,16.08,SMAT,12:48:19
Buy,INO,100,16.23,SMAT,12:50:06
Sell,INO,50,16.29,SMAT,12:50:26
Sell,INO,50,16.39,SMAT,12:51:04
Sell,INO,100,16.27,SMAT,12:52:27
Buy,INO,50,16.15,SMAT,12:52:42
Buy,INO,50,16.13,SMAT,12:52:43
Buy,INO,100,16.26,SMAT,12:58:53
Sell,INO,100,16.16,SMAT,12:59:11
Sell,INO,100,16.03,SMAT,12:59:23
Buy,INO,100,15.99,SMAT,12:59:40
Sell,INO,100,15.98,SMAT,13:00:01
Buy,INO,50,15.88,SMAT,13:00:44
Buy,INO,50,15.99,SMAT,13:01:29
Buy,INO,100,16.1,SMAT,13:02:21
Sell,INO,50,16.2,SMAT,13:03:48
Sell,INO,50,16.03,SMAT,13:05:08
Sell,INO,100,16.0,SMAT,13:05:49
Buy,INO,50,15.93,SMAT,13:06:12
Buy,INO,25,15.8,SMAT,13:07:17
Buy,INO,25,15.82,SMAT,13:08:03
