order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl
Buy,AAL,100,10.05,SMAT,12:31:19,0.0,-17.5,-26.5
Sell,AAL,100,10.07,SMAT,12:33:10,2.0,0.0,0.0
Buy,AAL,100,10.07,SMAT,12:34:43,0.0,0.0,0.0
Sell,AAL,100,10.03,SMAT,12:35:07,-4.0,0.0,0.0
Sell,AAL,100,10.0,SMAT,12:35:54,0.0,0.0,0.0
Buy,AAL,100,10.06,SMAT,12:36:07,-6.0,0.0,0.0
Sell,AAL,100,10.01,SMAT,12:36:47,0.0,0.0,0.0
Buy,AAL,50,9.96,SMAT,12:38:41,2.5,0.0,0.0
Buy,AAL,50,9.95,SMAT,12:38:56,3.0,0.0,0.0
Buy,AAL,100,9.85,SMAT,12:41:19,0.0,0.0,0.0
Sell,AAL,100,9.82,SMAT,12:43:27,-3.0,0.0,0.0
Sell,AAL,100,9.8,SMAT,12:43:51,0.0,0.0,0.0
Buy,AAL,100,9.85,SMAT,12:46:00,-5.0,0.0,0.0
Buy,AAL,100,9.85,SMAT,12:46:30,0.0,0.0,0.0
Sell,AAL,100,9.82,SMAT,12:47:25,-3.0,0.0,0.0
Buy,AAL,100,9.86,SMAT,12:48:16,0.0,0.0,0.0
Sell,AAL,100,9.85,SMAT,12:50:57,-1.0,0.0,0.0
Buy,AAL,100,9.9,SMAT,12:52:50,0.0,0.0,0.0
Sell,AAL,100,9.87,SMAT,12:56:58,-3.0,0.0,0.0
